# Reviewed baseline for diagnostics that predate the current policy gate.
# Format: repository-relative path<TAB>line<TAB>rule<TAB>symbol.
# New diagnostics are never accepted by this file; remove entries as debt is fixed.
crates/slingshot-agent-connection/src/authentication/environment_provider/async_provider.rs	82	fallible-interface-omits-its-failure-section	authenticate
crates/slingshot-agent-connection/src/authentication/environment_provider/async_provider.rs	108	fallible-interface-omits-its-failure-section	refresh_after_unauthorized
crates/slingshot-agent-connection/src/authentication/environment_provider/async_provider.rs	129	fallible-interface-omits-its-failure-section	authenticate_with_source
crates/slingshot-agent-connection/src/authentication/environment_provider/async_provider.rs	151	fallible-interface-omits-its-failure-section	refresh_with_source
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	27	declared-name-is-not-spelled-in-full	f
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	27	declared-name-is-not-spelled-in-full	fmt
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	33	fallible-interface-omits-its-failure-section	new
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	47	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	48	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	49	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	50	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	51	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	115	declared-name-is-not-spelled-in-full	T
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	138	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client.rs	138	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	22	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	23	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	24	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	25	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	26	declared-name-is-not-spelled-in-full	a
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	76	numeric-value-carries-no-name	24
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	80	numeric-value-carries-no-name	4
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	81	numeric-value-carries-no-name	4
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	145	numeric-value-carries-no-name	4
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	147	numeric-value-carries-no-name	7
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	173	declared-name-is-not-spelled-in-full	b
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	179	declared-name-is-not-spelled-in-full	b
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	198	numeric-value-carries-no-name	2
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	205	numeric-value-carries-no-name	10
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	251	declared-name-is-not-spelled-in-full	b
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	258	numeric-value-carries-no-name	3
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	262	numeric-value-carries-no-name	2
crates/slingshot-agent-connection/src/authentication/identity_management_client_token_tests.rs	271	numeric-value-carries-no-name	10
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	48	declared-name-is-not-spelled-in-full	config
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	69	declared-name-is-not-spelled-in-full	p
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	75	numeric-value-carries-no-name	100
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	83	numeric-value-carries-no-name	9
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	86	numeric-value-carries-no-name	256
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	86	numeric-value-carries-no-name	65536
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	112	numeric-value-carries-no-name	24
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	116	numeric-value-carries-no-name	4
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	117	numeric-value-carries-no-name	4
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	133	numeric-value-carries-no-name	4
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	135	numeric-value-carries-no-name	7
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	153	numeric-value-carries-no-name	5
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	189	numeric-value-carries-no-name	5
crates/slingshot-agent-connection/src/authentication/identity_management_client_wire_tests.rs	254	numeric-value-carries-no-name	5
crates/slingshot-agent-connection/src/authentication/identity_management_connector.rs	29	declared-name-is-not-spelled-in-full	f
crates/slingshot-agent-connection/src/authentication/identity_management_connector.rs	29	declared-name-is-not-spelled-in-full	fmt
crates/slingshot-agent-connection/src/authentication/identity_management_connector.rs	45	declared-name-is-not-spelled-in-full	f
crates/slingshot-agent-connection/src/authentication/identity_management_connector.rs	45	declared-name-is-not-spelled-in-full	fmt
crates/slingshot-agent-connection/src/authentication/identity_management_connector.rs	52	fallible-interface-omits-its-failure-section	new
crates/slingshot-agent-connection/src/authentication/identity_management_connector.rs	76	fallible-interface-omits-its-failure-section	connect
crates/slingshot-agent-connection/src/authentication/identity_management_connector_tests.rs	46	declared-name-is-not-spelled-in-full	config
crates/slingshot-agent-connection/src/authentication/identity_management_connector_tests.rs	83	numeric-value-carries-no-name	3
crates/slingshot-agent-connection/src/authentication/identity_management_connector_tests.rs	115	numeric-value-carries-no-name	5
crates/slingshot-agent-connection/src/authentication/identity_management_connector_tests.rs	137	numeric-value-carries-no-name	30
